"player","player_fuzzy_cricketdata","team","merge_team","season","player_fuzzy_ipl_contracts"
"R Dhawan","R  Dhawan","Punjab Kings","punjab kings","2023","R  Dhawan"
"HE van der Dussen","H  Dussen","Rajasthan Royals","rajasthan royals","2022","R  Dussen"
"RD Gaikwad","R  Gaikwad","Chennai Super Kings","chennai super kings","2020","R  Gaikwad"
"RD Gaikwad","R  Gaikwad","Chennai Super Kings","chennai super kings","2021","R  Gaikwad"
"RD Gaikwad","R  Gaikwad","Chennai Super Kings","chennai super kings","2022","R  Gaikwad"
"RD Gaikwad","R  Gaikwad","Chennai Super Kings","chennai super kings","2023","R  Gaikwad"
"R Goyal","R  Goyal","Mumbai Indians","mumbai indians","2023","R  Goyal"
"Rahmanullah Gurbaz","R  Gurbaz","Kolkata Knight Riders","kolkata knight riders","2023","R  Gurbaz"
"RS Hangargekar","R  Hangargekar","Chennai Super Kings","chennai super kings","2023","R  Hangargekar"
"RA Jadeja","R  Jadeja","Gujarat Lions","gujarat lions","2017","R  Jadeja"
"RA Jadeja","R  Jadeja","Chennai Super Kings","chennai super kings","2018","R  Jadeja"
"RA Jadeja","R  Jadeja","Chennai Super Kings","chennai super kings","2019","R  Jadeja"
"RA Jadeja","R  Jadeja","Chennai Super Kings","chennai super kings","2020","R  Jadeja"
"RA Jadeja","R  Jadeja","Chennai Super Kings","chennai super kings","2021","R  Jadeja"
"RA Jadeja","R  Jadeja","Chennai Super Kings","chennai super kings","2022","R  Jadeja"
"RA Jadeja","R  Jadeja","Chennai Super Kings","chennai super kings","2023","R  Jadeja"
"Rashid Khan","R  Khan","Sunrisers Hyderabad","sunrisers hyderabad","2017","R  Khan"
"Rashid Khan","R  Khan","Sunrisers Hyderabad","sunrisers hyderabad","2018","R  Khan"
"Rashid Khan","R  Khan","Sunrisers Hyderabad","sunrisers hyderabad","2019","R  Khan"
"Rashid Khan","R  Khan","Sunrisers Hyderabad","sunrisers hyderabad","2020","R  Khan"
"Rashid Khan","R  Khan","Sunrisers Hyderabad","sunrisers hyderabad","2021","R  Khan"
"Rashid Khan","R  Khan","Gujarat Titans","gujarat titans","2022","R  Khan"
"Rashid Khan","R  Khan","Gujarat Titans","gujarat titans","2023","R  Khan"
"R Sai Kishore","R  Kishore","Gujarat Titans","gujarat titans","2022","R  Kishore"
"RP Meredith","R  Meredith","Punjab Kings","punjab kings","2021","R  Meredith"
"RP Meredith","R  Meredith","Mumbai Indians","mumbai indians","2022","R  Meredith"
"RR Pant","R  Pant","Delhi Daredevils","delhi daredevils","2017","R  Pant"
"RR Pant","R  Pant","Delhi Daredevils","delhi daredevils","2018","R  Pant"
"RR Pant","R  Pant","Delhi Capitals","delhi capitals","2019","R  Pant"
"RR Pant","R  Pant","Delhi Capitals","delhi capitals","2020","R  Pant"
"RR Pant","R  Pant","Delhi Capitals","delhi capitals","2021","R  Pant"
"RR Pant","R  Pant","Delhi Capitals","delhi capitals","2022","R  Pant"
"R Parag","R  Parag","Rajasthan Royals","rajasthan royals","2019","R  Parag"
"R Parag","R  Parag","Rajasthan Royals","rajasthan royals","2020","R  Parag"
"R Parag","R  Parag","Rajasthan Royals","rajasthan royals","2021","R  Parag"
"R Parag","R  Parag","Rajasthan Royals","rajasthan royals","2022","R  Parag"
"R Parag","R  Parag","Rajasthan Royals","rajasthan royals","2023","R  Parag"
"RV Patel","R  Patel","Delhi Capitals","delhi capitals","2021","R  Patel"
"RV Patel","R  Patel","Delhi Capitals","delhi capitals","2022","R  Patel"
"RV Patel","R  Patel","Delhi Capitals","delhi capitals","2023","R  Patel"
"RM Patidar","R  Patidar","Royal Challengers Bangalore","royal challengers bangalore","2021","R  Patidar"
"R Powell","R  Powell","Delhi Capitals","delhi capitals","2022","R  Powell"
"R Powell","R  Powell","Delhi Capitals","delhi capitals","2023","R  Powell"
"RR Rossouw","R  Rossouw","Delhi Capitals","delhi capitals","2023","R  Rossouw"
"Rasikh Salam","R  Salam","Mumbai Indians","mumbai indians","2019","R  Salam"
"Rasikh Salam","R  Salam","Kolkata Knight Riders","kolkata knight riders","2022","R  Salam"
"RG Sharma","R  Sharma","Mumbai Indians","mumbai indians","2017","R  Sharma"
"RG Sharma","R  Sharma","Mumbai Indians","mumbai indians","2018","R  Sharma"
"RG Sharma","R  Sharma","Mumbai Indians","mumbai indians","2019","R  Sharma"
"RG Sharma","R  Sharma","Mumbai Indians","mumbai indians","2020","R  Sharma"
"RG Sharma","R  Sharma","Mumbai Indians","mumbai indians","2021","R  Sharma"
"RG Sharma","R  Sharma","Mumbai Indians","mumbai indians","2022","R  Sharma"
"RG Sharma","R  Sharma","Mumbai Indians","mumbai indians","2023","R  Sharma"
"R Shepherd","R  Shepherd","Sunrisers Hyderabad","sunrisers hyderabad","2022","R  Shepherd"
"R Shepherd","R  Shepherd","Lucknow Super Giants","lucknow super giants","2023","R  Shepherd"
"RK Singh","R  Singh","Kolkata Knight Riders","kolkata knight riders","2018","R  Singh"
"RK Singh","R  Singh","Kolkata Knight Riders","kolkata knight riders","2019","R  Singh"
"RK Singh","R  Singh","Kolkata Knight Riders","kolkata knight riders","2020","R  Singh"
"RK Singh","R  Singh","Kolkata Knight Riders","kolkata knight riders","2022","R  Singh"
"Ramandeep Singh","R  Singh","Mumbai Indians","mumbai indians","2022","R  Singh"
"RK Singh","R  Singh","Kolkata Knight Riders","kolkata knight riders","2023","R  Singh"
"R Tewatia","R  Tewatia","Punjab Kings","punjab kings","2017","R  Tewatia"
"R Tewatia","R  Tewatia","Delhi Daredevils","delhi daredevils","2018","R  Tewatia"
"R Tewatia","R  Tewatia","Delhi Capitals","delhi capitals","2019","R  Tewatia"
"R Tewatia","R  Tewatia","Rajasthan Royals","rajasthan royals","2020","R  Tewatia"
"R Tewatia","R  Tewatia","Rajasthan Royals","rajasthan royals","2021","R  Tewatia"
"R Tewatia","R  Tewatia","Gujarat Titans","gujarat titans","2022","R  Tewatia"
"R Tewatia","R  Tewatia","Gujarat Titans","gujarat titans","2023","R  Tewatia"
"RJW Topley","R  Topley","Royal Challengers Bangalore","royal challengers bangalore","2023","R  Topley"
"RA Tripathi","R  Tripathi","Rising Pune Supergiants","rising pune supergiants","2017","R  Tripathi"
"RA Tripathi","R  Tripathi","Rajasthan Royals","rajasthan royals","2018","R  Tripathi"
"RA Tripathi","R  Tripathi","Rajasthan Royals","rajasthan royals","2019","R  Tripathi"
"RA Tripathi","R  Tripathi","Kolkata Knight Riders","kolkata knight riders","2020","R  Tripathi"
"RA Tripathi","R  Tripathi","Kolkata Knight Riders","kolkata knight riders","2021","R  Tripathi"
"RA Tripathi","R  Tripathi","Sunrisers Hyderabad","sunrisers hyderabad","2022","R  Tripathi"
"RA Tripathi","R  Tripathi","Sunrisers Hyderabad","sunrisers hyderabad","2023","R  Tripathi"
"RV Uthappa","R  Uthappa","Kolkata Knight Riders","kolkata knight riders","2017","R  Uthappa"
"RV Uthappa","R  Uthappa","Kolkata Knight Riders","kolkata knight riders","2018","R  Uthappa"
"RV Uthappa","R  Uthappa","Kolkata Knight Riders","kolkata knight riders","2019","R  Uthappa"
"RV Uthappa","R  Uthappa","Rajasthan Royals","rajasthan royals","2020","R  Uthappa"
"RV Uthappa","R  Uthappa","Chennai Super Kings","chennai super kings","2021","R  Uthappa"
"RV Uthappa","R  Uthappa","Chennai Super Kings","chennai super kings","2022","R  Uthappa"
"SA Abbott","S  Abbott","Sunrisers Hyderabad","sunrisers hyderabad","2022","S  Abbott"
"SS Agarwal","S  Agarwal","Gujarat Lions","gujarat lions","2017","S  Agarwal"
"KK Ahmed","K  Ahmed","Sunrisers Hyderabad","sunrisers hyderabad","2018","S  Ahmed"
"Shahbaz Ahmed","S  Ahmed","Royal Challengers Bangalore","royal challengers bangalore","2020","S  Ahmed"
"Shahbaz Ahmed","S  Ahmed","Royal Challengers Bangalore","royal challengers bangalore","2021","S  Ahmed"
"Shahbaz Ahmed","S  Ahmed","Royal Challengers Bangalore","royal challengers bangalore","2022","S  Ahmed"
"Shahbaz Ahmed","S  Ahmed","Royal Challengers Bangalore","royal challengers bangalore","2023","S  Ahmed"
"S Aravind","S  Aravind","Royal Challengers Bangalore","royal challengers bangalore","2017","S  Aravind"
"Sachin Baby","S  Baby","Royal Challengers Bangalore","royal challengers bangalore","2017","S  Baby"
"Sachin Baby","S  Baby","Royal Challengers Bangalore","royal challengers bangalore","2021","S  Baby"
"S Badree","S  Badree","Royal Challengers Bangalore","royal challengers bangalore","2017","S  Badree"
"SW Billings","S  Billings","Delhi Daredevils","delhi daredevils","2017","S  Billings"
"SW Billings","S  Billings","Chennai Super Kings","chennai super kings","2018","S  Billings"
"SW Billings","S  Billings","Chennai Super Kings","chennai super kings","2019","S  Billings"
"SW Billings","S  Billings","Kolkata Knight Riders","kolkata knight riders","2022","S  Billings"
"STR Binny","S  Binny","Royal Challengers Bangalore","royal challengers bangalore","2017","S  Binny"
"STR Binny","S  Binny","Rajasthan Royals","rajasthan royals","2018","S  Binny"
"STR Binny","S  Binny","Rajasthan Royals","rajasthan royals","2019","S  Binny"
"SS Cottrell","S  Cottrell","Punjab Kings","punjab kings","2020","S  Cottrell"
"SM Curran","S  Curran","Punjab Kings","punjab kings","2019","S  Curran"
"SM Curran","S  Curran","Chennai Super Kings","chennai super kings","2020","S  Curran"
"SM Curran","S  Curran","Chennai Super Kings","chennai super kings","2021","S  Curran"
"SM Curran","S  Curran","Punjab Kings","punjab kings","2023","S  Curran"
"S Dhawan","S  Dhawan","Sunrisers Hyderabad","sunrisers hyderabad","2017","S  Dhawan"
"S Dhawan","S  Dhawan","Sunrisers Hyderabad","sunrisers hyderabad","2018","S  Dhawan"
"S Dhawan","S  Dhawan","Delhi Capitals","delhi capitals","2019","S  Dhawan"
"S Dhawan","S  Dhawan","Delhi Capitals","delhi capitals","2020","S  Dhawan"
"S Dhawan","S  Dhawan","Delhi Capitals","delhi capitals","2021","S  Dhawan"
"S Dhawan","S  Dhawan","Punjab Kings","punjab kings","2022","S  Dhawan"
"S Dhawan","S  Dhawan","Punjab Kings","punjab kings","2023","S  Dhawan"
"S Dube","S  Dube","Royal Challengers Bangalore","royal challengers bangalore","2019","S  Dube"
"S Dube","S  Dube","Royal Challengers Bangalore","royal challengers bangalore","2020","S  Dube"
"S Dube","S  Dube","Rajasthan Royals","rajasthan royals","2021","S  Dube"
"S Dube","S  Dube","Chennai Super Kings","chennai super kings","2022","S  Dube"
"S Dube","S  Dube","Chennai Super Kings","chennai super kings","2023","S  Dube"
"Shubman Gill","S  Gill","Kolkata Knight Riders","kolkata knight riders","2018","S  Gill"
"Shubman Gill","S  Gill","Kolkata Knight Riders","kolkata knight riders","2019","S  Gill"
"Shubman Gill","S  Gill","Kolkata Knight Riders","kolkata knight riders","2020","S  Gill"
"Shubman Gill","S  Gill","Kolkata Knight Riders","kolkata knight riders","2021","S  Gill"
"Shubman Gill","S  Gill","Gujarat Titans","gujarat titans","2022","S  Gill"
"Shubman Gill","S  Gill","Gujarat Titans","gujarat titans","2023","S  Gill"
"S Gopal","S  Gopal","Rajasthan Royals","rajasthan royals","2018","S  Gopal"
"S Gopal","S  Gopal","Rajasthan Royals","rajasthan royals","2019","S  Gopal"
"S Gopal","S  Gopal","Rajasthan Royals","rajasthan royals","2020","S  Gopal"
"S Gopal","S  Gopal","Rajasthan Royals","rajasthan royals","2021","S  Gopal"
"S Gopal","S  Gopal","Sunrisers Hyderabad","sunrisers hyderabad","2022","S  Gopal"
"SP Goswami","S  Goswami","Sunrisers Hyderabad","sunrisers hyderabad","2018","S  Goswami"
"SP Goswami","S  Goswami","Sunrisers Hyderabad","sunrisers hyderabad","2020","S  Goswami"
"Shakib Al Hasan","S  Hasan","Kolkata Knight Riders","kolkata knight riders","2017","S  Hasan"
"Shakib Al Hasan","S  Hasan","Sunrisers Hyderabad","sunrisers hyderabad","2018","S  Hasan"
"Shakib Al Hasan","S  Hasan","Sunrisers Hyderabad","sunrisers hyderabad","2019","S  Hasan"
"Shakib Al Hasan","S  Hasan","Kolkata Knight Riders","kolkata knight riders","2021","S  Hasan"
"SO Hetmyer","S  Hetmyer","Royal Challengers Bangalore","royal challengers bangalore","2019","S  Hetmyer"
"SO Hetmyer","S  Hetmyer","Delhi Capitals","delhi capitals","2020","S  Hetmyer"
"SO Hetmyer","S  Hetmyer","Delhi Capitals","delhi capitals","2021","S  Hetmyer"
"SO Hetmyer","S  Hetmyer","Rajasthan Royals","rajasthan royals","2022","S  Hetmyer"
"SO Hetmyer","S  Hetmyer","Rajasthan Royals","rajasthan royals","2023","S  Hetmyer"
"SP Jackson","S  Jackson","Kolkata Knight Riders","kolkata knight riders","2017","S  Jackson"
"SP Jackson","S  Jackson","Kolkata Knight Riders","kolkata knight riders","2022","S  Jackson"
"SB Jakati","S  Jakati","Gujarat Lions","gujarat lions","2017","S  Jakati"
"S Kaul","S  Kaul","Sunrisers Hyderabad","sunrisers hyderabad","2017","S  Kaul"
"S Kaul","S  Kaul","Sunrisers Hyderabad","sunrisers hyderabad","2018","S  Kaul"
"S Kaul","S  Kaul","Sunrisers Hyderabad","sunrisers hyderabad","2019","S  Kaul"
"S Kaul","S  Kaul","Sunrisers Hyderabad","sunrisers hyderabad","2020","S  Kaul"
"S Kaul","S  Kaul","Sunrisers Hyderabad","sunrisers hyderabad","2021","S  Kaul"
"S Kaul","S  Kaul","Royal Challengers Bangalore","royal challengers bangalore","2022","S  Kaul"
"S Kaushik","S  Kaushik","Gujarat Lions","gujarat lions","2017","S  Kaushik"
"SN Khan","S  Khan","Royal Challengers Bangalore","royal challengers bangalore","2018","S  Khan"
"SN Khan","S  Khan","Punjab Kings","punjab kings","2019","S  Khan"
"SN Khan","S  Khan","Punjab Kings","punjab kings","2020","S  Khan"
"SN Khan","S  Khan","Punjab Kings","punjab kings","2021","S  Khan"
"SN Khan","S  Khan","Delhi Capitals","delhi capitals","2022","S  Khan"
"M Shahrukh Khan","M  Khan","Punjab Kings","punjab kings","2022","S  Khan"
"SN Khan","S  Khan","Delhi Capitals","delhi capitals","2023","S  Khan"
"M Shahrukh Khan","M  Khan","Punjab Kings","punjab kings","2023","S  Khan"
"SD Lad","S  Lad","Mumbai Indians","mumbai indians","2019","S  Lad"
"S Lamichhane","S  Lamichhane","Delhi Daredevils","delhi daredevils","2018","S  Lamichhane"
"S Lamichhane","S  Lamichhane","Delhi Capitals","delhi capitals","2019","S  Lamichhane"
"SE Marsh","S  Marsh","Punjab Kings","punjab kings","2017","S  Marsh"
"Shivam Mavi","S  Mavi","Kolkata Knight Riders","kolkata knight riders","2018","S  Mavi"
"Shivam Mavi","S  Mavi","Kolkata Knight Riders","kolkata knight riders","2020","S  Mavi"
"Shivam Mavi","S  Mavi","Kolkata Knight Riders","kolkata knight riders","2021","S  Mavi"
"Shivam Mavi","S  Mavi","Kolkata Knight Riders","kolkata knight riders","2022","S  Mavi"
"S Midhun","S  Midhun","Rajasthan Royals","rajasthan royals","2019","S  Midhun"
"S Nadeem","S  Nadeem","Delhi Daredevils","delhi daredevils","2017","S  Nadeem"
"S Nadeem","S  Nadeem","Delhi Daredevils","delhi daredevils","2018","S  Nadeem"
"S Nadeem","S  Nadeem","Sunrisers Hyderabad","sunrisers hyderabad","2019","S  Nadeem"
"S Nadeem","S  Nadeem","Sunrisers Hyderabad","sunrisers hyderabad","2020","S  Nadeem"
"S Nadeem","S  Nadeem","Sunrisers Hyderabad","sunrisers hyderabad","2021","S  Nadeem"
"SP Narine","S  Narine","Kolkata Knight Riders","kolkata knight riders","2017","S  Narine"
"SP Narine","S  Narine","Kolkata Knight Riders","kolkata knight riders","2018","S  Narine"
"SP Narine","S  Narine","Kolkata Knight Riders","kolkata knight riders","2019","S  Narine"
"SP Narine","S  Narine","Kolkata Knight Riders","kolkata knight riders","2020","S  Narine"
"SP Narine","S  Narine","Kolkata Knight Riders","kolkata knight riders","2021","S  Narine"
"SP Narine","S  Narine","Kolkata Knight Riders","kolkata knight riders","2022","S  Narine"
"SP Narine","S  Narine","Kolkata Knight Riders","kolkata knight riders","2023","S  Narine"
"SS Prabhudessai","S  Prabhudessai","Royal Challengers Bangalore","royal challengers bangalore","2022","S  Prabhudessai"
"SS Prabhudessai","S  Prabhudessai","Royal Challengers Bangalore","royal challengers bangalore","2023","S  Prabhudessai"
